Título,URL,Descrição,Palavras-chave,Habilidade(s) - BNCC,Tipos de Mídias,Disciplina,Temas Curriculares,Temas Transversais,"Etapas, anos e modalidades",Licenças de Uso,Idioma,Acessibilidade,Conectividade,Oferecido por,Produzido por,Etnias indígenas,Anos escolar,ID (não editar)
Orto e Grafia – Perda ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/652/perda.wmv?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta a tecnologia utilizada no site da BibVirt, destacando suas vantagens e formas de uso. Descreve as normas que são seguidas pela biblioteca para publicação de materiais com fins de proteger os direitos autorais e respeitar a legislação. Discorre sobre o trabalho dos voluntários, destacando a importância destes para a biblioteca devido a falta de funcionários. Além de mostrar trecho do livro “Rapunzel”, produzido pelo Núcleo de Computação Eletrônica da Universidade Federal do Rio de Janeiro.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b97c9d69702d65e2560500
Orto e Grafia – Problema I ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/836/me001152.wmv?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta a tecnologia utilizada no site da BibVirt, destacando suas vantagens e formas de uso. Descreve as normas que são seguidas pela biblioteca para publicação de materiais com fins de proteger os direitos autorais e respeitar a legislação. Discorre sobre o trabalho dos voluntários, destacando a importância destes para a biblioteca devido a falta de funcionários. Além de mostrar trecho do livro “Rapunzel”, produzido pelo Núcleo de Computação Eletrônica da Universidade Federal do Rio de Janeiro.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9449f69702d490aa91400
Orto e Grafia – Problema II ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/657/problema%202.wmv?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta a tecnologia utilizada no site da BibVirt, destacando suas vantagens e formas de uso. Descreve as normas que são seguidas pela biblioteca para publicação de materiais com fins de proteger os direitos autorais e respeitar a legislação. Discorre sobre o trabalho dos voluntários, destacando a importância destes para a biblioteca devido a falta de funcionários. Além de mostrar trecho do livro “Rapunzel”, produzido pelo Núcleo de Computação Eletrônica da Universidade Federal do Rio de Janeiro.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9459569702d490a2c1700
Orto e Grafia – Reais ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/1260/reais.wmv?sequence=2,"Vídeo com episódio do programa Orto e Grafia, exibido pela TV Escola. Utiliza o teatro de bonecos para ensinar a aplicação correta do termo ‘real’ e ‘reais’.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b945e569702d490a9c1700
Orto e Grafia – Relaxamento,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/946/relaza.wmv?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta a tecnologia utilizada no site da BibVirt, destacando suas vantagens e formas de uso. Descreve as normas que são seguidas pela biblioteca para publicação de materiais com fins de proteger os direitos autorais e respeitar a legislação. Discorre sobre o trabalho dos voluntários, destacando a importância destes para a biblioteca devido a falta de funcionários. Além de mostrar trecho do livro “Rapunzel”, produzido pelo Núcleo de Computação Eletrônica da Universidade Federal do Rio de Janeiro.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9776969702d65e2d20100
Orto e Grafia – Tosse ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/892/me001146.wmv?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta a tecnologia utilizada no site da BibVirt, destacando suas vantagens e formas de uso. Descreve as normas que são seguidas pela biblioteca para publicação de materiais com fins de proteger os direitos autorais e respeitar a legislação. Discorre sobre o trabalho dos voluntários, destacando a importância destes para a biblioteca devido a falta de funcionários. Além de mostrar trecho do livro “Rapunzel”, produzido pelo Núcleo de Computação Eletrônica da Universidade Federal do Rio de Janeiro.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9774669702d65e29b0100
Orto e Grafia – Xi-Chuva ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/869/me000969.wmv?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta a tecnologia utilizada no site da BibVirt, destacando suas vantagens e formas de uso. Descreve as normas que são seguidas pela biblioteca para publicação de materiais com fins de proteger os direitos autorais e respeitar a legislação. Discorre sobre o trabalho dos voluntários, destacando a importância destes para a biblioteca devido a falta de funcionários. Além de mostrar trecho do livro “Rapunzel”, produzido pelo Núcleo de Computação Eletrônica da Universidade Federal do Rio de Janeiro.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9770169702d65e2390100
Ortografia: palavras com sc [Orto e grafia],http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/8717/me001143.wmv?sequence=1&o=d,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta a tecnologia utilizada no site da BibVirt, destacando suas vantagens e formas de uso. Descreve as normas que são seguidas pela biblioteca para publicação de materiais com fins de proteger os direitos autorais e respeitar a legislação. Discorre sobre o trabalho dos voluntários, destacando a importância destes para a biblioteca devido a falta de funcionários. Além de mostrar trecho do livro “Rapunzel”, produzido pelo Núcleo de Computação Eletrônica da Universidade Federal do Rio de Janeiro.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9497e69702d490a121c00
Os 4 viajantes ,http://player.vimeo.com/video/78913023?autoplay=1,"Vídeo com episódio do programa Sua língua, da TV Escola, apresentado por Pasquale. Aborda o uso e as formas dos adjetivos na Língua Portuguesa.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9469269702d490a951800
Os três porquinhos ,https://vimeo.com/21393005,Jogo para testar o conhecimento relacionado com as letras do alfabeto.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b94ba569702d490a2f1e00
Otelo,http://www.ebooksbrasil.org/adobeebook/otelo.pdf,"Vídeo do programa Nossa Língua que apresenta os principais “erros” gramaticais cometidos na língua falada, ao apontar diferenças entre a fala formal e a coloquial. Ainda, esclarece as regras do particípio e do presente do subjuntivo de alguns verbos. Apresenta também entrevista com o grupo humorístico “Os Sobrinhos do Ataíde”, que debate o uso do português em textos humorísticos.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9794069702d65e2f80300
Paisagem da Janela,https://www.youtube.com/watch?v=7sQclHhvEIU,Jogo para testar o conhecimento relacionado com as letras do alfabeto.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9485c69702d490adc1a00
Palavras complicadas - Português de Portugal,http://www.soportugues.com.br/secoes/jogos/jogo.php?jogo=11,Comunidade criada por alunos que participaram da Olimpíada da Língua Portuguesa.  Traz postagens diárias de crônicas produzidas pelos estudantes em diferentes regiões do Brasil.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,
Pesca letras ,http://www.escolagames.com.br/jogos/pescaLetras/,Comunidade criada por alunos que participaram da Olimpíada da Língua Portuguesa.  Traz postagens diárias de crônicas produzidas pelos estudantes em diferentes regiões do Brasil.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9777569702d65e2e20100
Poeminho do contra ,http://www.youtube.com/watch?v=k2nwIPdyIXw,Comunidade criada por alunos que participaram da Olimpíada da Língua Portuguesa.  Traz postagens diárias de crônicas produzidas pelos estudantes em diferentes regiões do Brasil.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9796769702d65e2220400
Poesias de Manoel de Barros (Será preciso verificar a possibilidade de publicar livro inteiro),http://recursos.bertrand.pt/recurso?&id=9976318,"Curta metragem com animação da música “A casa” de Vinícius de Moraes, interpretada pelo Boca Livre. Interessante para introduzir o trabalho com música. Favorece a reflexão sobre o sistema de escrita. Convide as crianças a assistirem ao vídeo e a cantarem. Quando aprenderem a letra da música será possível propor atividades com diferentes desafios como: escrever a letra da música coletivamente, sendo o professor o escriba; escrever a letra da música de próprio punho (em duplas ou individualmente). Para crianças com hipótese de escrita não alfabéticas, o professor pode oferecer a letra da música em letra bastão maiúscula para que façam o ajuste entre o que está cantando e o que está escrito. Para essa última atividade, enquanto estiverem acompanhando a letra da música,  será interessante oferecer somente o áudio. ",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b977b569702d65e2360200
Poetas do repente – Com a boca no mundo ,https://tvescola.org.br/tve/video/poetas-do-repente-com-a-boca-no-mundo,Jogo para testar o conhecimento relacionado com as letras do alfabeto.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b976e369702d65e2150100
Poetas do repente – O bê-a-bá do repente ,https://tvescola.org.br/tve/video/poetas-do-repente-o-be-a-ba-do-repente,Jogo para testar o conhecimento relacionado com as letras do alfabeto.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9789e69702d65e2450300
Poetas do repente – Recriando o repente ,https://tvescola.org.br/tve/video/poetas-do-repente-recriando-o-repente,Jogo para testar o conhecimento relacionado com as letras do alfabeto.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b977b669702d65e2370200
Poetas do repente – Tecendo o repente ,https://tvescola.org.br/tve/video/poetas-do-repente-tecendo-o-repente,Jogo para testar o conhecimento relacionado com as letras do alfabeto.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9766f69702d65e2580000
Por parte de pai – Bartolomeu Campos Queirós – rádio poeta ,http://www.youtube.com/watch?v=s9F4yjxUJFA,Comunidade criada por alunos que participaram da Olimpíada da Língua Portuguesa.  Traz postagens diárias de crônicas produzidas pelos estudantes em diferentes regiões do Brasil.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b94b9469702d490a1c1e00
Por parte de pai (parte II) – Bartolomeu Campos Queirós – rádio poeta ,http://www.youtube.com/watch?v=9FUAAHvKWqk,Comunidade criada por alunos que participaram da Olimpíada da Língua Portuguesa.  Traz postagens diárias de crônicas produzidas pelos estudantes em diferentes regiões do Brasil.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9448869702d490a6b1400
Problema II [Orto e grafia] ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/657/problema%202.wmv?sequence=1&o=d,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta a tecnologia utilizada no site da BibVirt, destacando suas vantagens e formas de uso. Descreve as normas que são seguidas pela biblioteca para publicação de materiais com fins de proteger os direitos autorais e respeitar a legislação. Discorre sobre o trabalho dos voluntários, destacando a importância destes para a biblioteca devido a falta de funcionários. Além de mostrar trecho do livro “Rapunzel”, produzido pelo Núcleo de Computação Eletrônica da Universidade Federal do Rio de Janeiro.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9778069702d65e2f10100
Qual é a palavra?,http://www.midiaseducativas.com.br/bk/popup/produtos/portugues/portugues.html,Comunidade criada por alunos que participaram da Olimpíada da Língua Portuguesa.  Traz postagens diárias de crônicas produzidas pelos estudantes em diferentes regiões do Brasil.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b94d1169702d490aef1f00
Que língua é essa? Projeto Mec ConDigital: Episódio I – capítulo I – fala e escrita (há outros episódios disponíveis para publicação),http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/9912/EpisodioI_capI.zip?sequence=1,"Vídeo aborda e contextualiza a língua portuguesa como uma instituição social e dinâmica, que se constrói nas situações interativas orais e escritas. O objeto digital pode ser apresentado para reflexão sobre as variedades linguísticas, com objetivo de reconhecer que a língua varia geográfica e historicamente. Para uma abordagem inicial, discutir com os alunos, antes da exibição do vídeo : por que estudar a disciplina Língua Portuguesa na escola? Qual o objetivo da escola no ensino de nossa língua?",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b94ab269702d490a3c1d00
